"","Verb","Tense","Person","Number","Data.point","Forms","Radical"
"1","Chanter","INF/PART",1,"sg","Châteauponsac","ʃãˈtaː",NA
"2","Chanter","INF/PART",2,"sg","Châteauponsac","ʃãˈta",NA
"3","Chanter","INF/PART",3,"sg","Châteauponsac","ʃãˈta",NA
"4","Chanter","INF/PART",1,"pl","Châteauponsac","ʃãˈtaːdɔ",NA
"5","Chanter","INF/PART",2,"pl","Châteauponsac","ʃãtaˈdaː",NA
"6","Chanter","INF/PART",3,"pl","Châteauponsac","ɛ̃ ʃãˈtã",NA
"7","Lier","INF/PART",1,"sg","Châteauponsac","ˈjaː",NA
"8","Lier","INF/PART",2,"sg","Châteauponsac","ˈja",NA
"9","Lier","INF/PART",3,"sg","Châteauponsac","ˈja",NA
"10","Lier","INF/PART",1,"pl","Châteauponsac","ˈjaːdɔ",NA
"11","Lier","INF/PART",2,"pl","Châteauponsac","jaˈdaː",NA
"12","Lier","INF/PART",3,"pl","Châteauponsac","ɛ̃ ˈjã",NA
"13","Couver","INF/PART",1,"sg","Châteauponsac","ˈkwaː",NA
"14","Couver","INF/PART",2,"sg","Châteauponsac","ˈkwa",NA
"15","Couver","INF/PART",3,"sg","Châteauponsac","ˈkwa",NA
"16","Couver","INF/PART",1,"pl","Châteauponsac","ˈkwaːdɔ",NA
"17","Couver","INF/PART",2,"pl","Châteauponsac","kwaˈdaː",NA
"18","Couver","INF/PART",3,"pl","Châteauponsac","ɛ̃ ˈkwã",NA
"19","Acheter","INF/PART",1,"sg","Châteauponsac","ʃaˈtaː",NA
"20","Acheter","INF/PART",2,"sg","Châteauponsac","ʃaˈta",NA
"21","Acheter","INF/PART",3,"sg","Châteauponsac","ʃaˈta",NA
"22","Acheter","INF/PART",1,"pl","Châteauponsac","ʃaˈtaːdɔ",NA
"23","Acheter","INF/PART",2,"pl","Châteauponsac","ʃataˈdaː",NA
"24","Acheter","INF/PART",3,"pl","Châteauponsac","ɛ̃ ʃaˈtã",NA
"25","Aller","INF/PART",1,"sg","Châteauponsac","ˈnaː",NA
"26","Aller","INF/PART",2,"sg","Châteauponsac","ˈna",NA
"27","Aller","INF/PART",3,"sg","Châteauponsac","ˈna",NA
"28","Aller","INF/PART",1,"pl","Châteauponsac","ˈnaːdɔ",NA
"29","Aller","INF/PART",2,"pl","Châteauponsac","naˈdaː",NA
"30","Aller","INF/PART",3,"pl","Châteauponsac","ɛ̃aˈnã",NA
"31","Blanchir","INF/PART",1,"sg","Châteauponsac","blãˈʃir",NA
"32","Blanchir","INF/PART",2,"sg","Châteauponsac","blãˈʃi",NA
